"sector_id","sector_nombre","variable_id","actividad_producto_nombre","indicador","unidad_de_medida","fuente","frecuencia_nombre","cobertura_nombre","alcance_tipo","alcance_id","alcance_nombre","indice_tiempo","valor"
1,"Ovinos - Lana y Carne",2,"Carne ovina","Consumo per cápita","kg/per cápita","MAGYP","Anual","Nacional","PAIS","200","Argentina",2018-01-01,1.0572108849742
1,"Ovinos - Lana y Carne",2,"Carne ovina","Consumo per cápita","kg/per cápita","MAGYP","Anual","Nacional","PAIS","200","Argentina",2019-01-01,1.1063774490859
1,"Ovinos - Lana y Carne",3,"Carne ovina","Producción","tn res con hueso","MAGYP","Anual","Nacional","PAIS","200","Argentina",1998-01-01,36768.361321783
1,"Ovinos - Lana y Carne",3,"Carne ovina","Producción","tn res con hueso","MAGYP","Anual","Nacional","PAIS","200","Argentina",1999-01-01,49772.903795654
1,"Ovinos - Lana y Carne",3,"Carne ovina","Producción","tn res con hueso","MAGYP","Anual","Nacional","PAIS","200","Argentina",2000-01-01,67416.508378832
1,"Ovinos - Lana y Carne",3,"Carne ovina","Producción","tn res con hueso","MAGYP","Anual","Nacional","PAIS","200","Argentina",2001-01-01,44475.747617273
1,"Ovinos - Lana y Carne",3,"Carne ovina","Producción","tn res con hueso","MAGYP","Anual","Nacional","PAIS","200","Argentina",2002-01-01,46760.723757876
1,"Ovinos - Lana y Carne",3,"Carne ovina","Producción","tn res con hueso","MAGYP","Anual","Nacional","PAIS","200","Argentina",2003-01-01,57235.614852415
1,"Ovinos - Lana y Carne",3,"Carne ovina","Producción","tn res con hueso","MAGYP","Anual","Nacional","PAIS","200","Argentina",2004-01-01,74899.756625472
1,"Ovinos - Lana y Carne",3,"Carne ovina","Producción","tn res con hueso","MAGYP","Anual","Nacional","PAIS","200","Argentina",2005-01-01,89887.159458549
1,"Ovinos - Lana y Carne",3,"Carne ovina","Producción","tn res con hueso","MAGYP","Anual","Nacional","PAIS","200","Argentina",2006-01-01,82624.003405487
1,"Ovinos - Lana y Carne",3,"Carne ovina","Producción","tn res con hueso","MAGYP","Anual","Nacional","PAIS","200","Argentina",2007-01-01,82165.10412877
1,"Ovinos - Lana y Carne",3,"Carne ovina","Producción","tn res con hueso","MAGYP","Anual","Nacional","PAIS","200","Argentina",2008-01-01,76414.113951348
1,"Ovinos - Lana y Carne",3,"Carne ovina","Producción","tn res con hueso","MAGYP","Anual","Nacional","PAIS","200","Argentina",2009-01-01,83381.099680445
1,"Ovinos - Lana y Carne",3,"Carne ovina","Producción","tn res con hueso","MAGYP","Anual","Nacional","PAIS","200","Argentina",2010-01-01,74987.332323379
1,"Ovinos - Lana y Carne",3,"Carne ovina","Producción","tn res con hueso","MAGYP","Anual","Nacional","PAIS","200","Argentina",2011-01-01,65947.046367412
1,"Ovinos - Lana y Carne",3,"Carne ovina","Producción","tn res con hueso","MAGYP","Anual","Nacional","PAIS","200","Argentina",2012-01-01,58962.122441975
1,"Ovinos - Lana y Carne",3,"Carne ovina","Producción","tn res con hueso","MAGYP","Anual","Nacional","PAIS","200","Argentina",2013-01-01,56420.000961998
1,"Ovinos - Lana y Carne",3,"Carne ovina","Producción","tn res con hueso","MAGYP","Anual","Nacional","PAIS","200","Argentina",2014-01-01,60066.864555903
1,"Ovinos - Lana y Carne",3,"Carne ovina","Producción","tn res con hueso","MAGYP","Anual","Nacional","PAIS","200","Argentina",2015-01-01,57608.544031584
1,"Ovinos - Lana y Carne",3,"Carne ovina","Producción","tn res con hueso","MAGYP","Anual","Nacional","PAIS","200","Argentina",2016-01-01,51590.113369041
1,"Ovinos - Lana y Carne",3,"Carne ovina","Producción","tn res con hueso","MAGYP","Anual","Nacional","PAIS","200","Argentina",2017-01-01,50615.827729499
1,"Ovinos - Lana y Carne",3,"Carne ovina","Producción","tn res con hueso","MAGYP","Anual","Nacional","PAIS","200","Argentina",2018-01-01,49126.4371124
1,"Ovinos - Lana y Carne",3,"Carne ovina","Producción","tn res con hueso","MAGYP","Anual","Nacional","PAIS","200","Argentina",2019-01-01,53392.475807767
1,"Ovinos - Lana y Carne",4,"Lana fina_ 20 micrones Rinde peine 55%","Precio interno_de referencia","US$","MAGYP","Mensual","Nacional","PAIS","200","Argentina",2004-01-01,2.93
1,"Ovinos - Lana y Carne",4,"Lana fina_ 20 micrones Rinde peine 55%","Precio interno_de referencia","US$","MAGYP","Mensual","Nacional","PAIS","200","Argentina",2004-02-01,2.83
1,"Ovinos - Lana y Carne",4,"Lana fina_ 20 micrones Rinde peine 55%","Precio interno_de referencia","US$","MAGYP","Mensual","Nacional","PAIS","200","Argentina",2004-03-01,2.77
1,"Ovinos - Lana y Carne",4,"Lana fina_ 20 micrones Rinde peine 55%","Precio interno_de referencia","US$","MAGYP","Mensual","Nacional","PAIS","200","Argentina",2004-04-01,2.68
1,"Ovinos - Lana y Carne",4,"Lana fina_ 20 micrones Rinde peine 55%","Precio interno_de referencia","US$","MAGYP","Mensual","Nacional","PAIS","200","Argentina",2004-05-01,2.68
1,"Ovinos - Lana y Carne",4,"Lana fina_ 20 micrones Rinde peine 55%","Precio interno_de referencia","US$","MAGYP","Mensual","Nacional","PAIS","200","Argentina",2004-06-01,2.66
1,"Ovinos - Lana y Carne",4,"Lana fina_ 20 micrones Rinde peine 55%","Precio interno_de referencia","US$","MAGYP","Mensual","Nacional","PAIS","200","Argentina",2004-07-01,2.75
1,"Ovinos - Lana y Carne",4,"Lana fina_ 20 micrones Rinde peine 55%","Precio interno_de referencia","US$","MAGYP","Mensual","Nacional","PAIS","200","Argentina",2004-08-01,2.68
1,"Ovinos - Lana y Carne",4,"Lana fina_ 20 micrones Rinde peine 55%","Precio interno_de referencia","US$","MAGYP","Mensual","Nacional","PAIS","200","Argentina",2004-09-01,2.54
1,"Ovinos - Lana y Carne",4,"Lana fina_ 20 micrones Rinde peine 55%","Precio interno_de referencia","US$","MAGYP","Mensual","Nacional","PAIS","200","Argentina",2004-10-01,2.69
1,"Ovinos - Lana y Carne",4,"Lana fina_ 20 micrones Rinde peine 55%","Precio interno_de referencia","US$","MAGYP","Mensual","Nacional","PAIS","200","Argentina",2004-11-01,2.66
1,"Ovinos - Lana y Carne",4,"Lana fina_ 20 micrones Rinde peine 55%","Precio interno_de referencia","US$","MAGYP","Mensual","Nacional","PAIS","200","Argentina",2004-12-01,2.71
1,"Ovinos - Lana y Carne",4,"Lana fina_ 20 micrones Rinde peine 55%","Precio interno_de referencia","US$","MAGYP","Mensual","Nacional","PAIS","200","Argentina",2005-01-01,2.73
1,"Ovinos - Lana y Carne",4,"Lana fina_ 20 micrones Rinde peine 55%","Precio interno_de referencia","US$","MAGYP","Mensual","Nacional","PAIS","200","Argentina",2005-02-01,2.65
1,"Ovinos - Lana y Carne",4,"Lana fina_ 20 micrones Rinde peine 55%","Precio interno_de referencia","US$","MAGYP","Mensual","Nacional","PAIS","200","Argentina",2005-03-01,2.62
1,"Ovinos - Lana y Carne",4,"Lana fina_ 20 micrones Rinde peine 55%","Precio interno_de referencia","US$","MAGYP","Mensual","Nacional","PAIS","200","Argentina",2005-04-01,2.62
1,"Ovinos - Lana y Carne",4,"Lana fina_ 20 micrones Rinde peine 55%","Precio interno_de referencia","US$","MAGYP","Mensual","Nacional","PAIS","200","Argentina",2005-05-01,2.53
1,"Ovinos - Lana y Carne",4,"Lana fina_ 20 micrones Rinde peine 55%","Precio interno_de referencia","US$","MAGYP","Mensual","Nacional","PAIS","200","Argentina",2005-06-01,2.55
1,"Ovinos - Lana y Carne",4,"Lana fina_ 20 micrones Rinde peine 55%","Precio interno_de referencia","US$","MAGYP","Mensual","Nacional","PAIS","200","Argentina",2005-07-01,2.56
1,"Ovinos - Lana y Carne",4,"Lana fina_ 20 micrones Rinde peine 55%","Precio interno_de referencia","US$","MAGYP","Mensual","Nacional","PAIS","200","Argentina",2005-08-01,2.41
1,"Ovinos - Lana y Carne",4,"Lana fina_ 20 micrones Rinde peine 55%","Precio interno_de referencia","US$","MAGYP","Mensual","Nacional","PAIS","200","Argentina",2005-09-01,2.31
1,"Ovinos - Lana y Carne",4,"Lana fina_ 20 micrones Rinde peine 55%","Precio interno_de referencia","US$","MAGYP","Mensual","Nacional","PAIS","200","Argentina",2005-10-01,2.2
1,"Ovinos - Lana y Carne",4,"Lana fina_ 20 micrones Rinde peine 55%","Precio interno_de referencia","US$","MAGYP","Mensual","Nacional","PAIS","200","Argentina",2005-11-01,2.15
1,"Ovinos - Lana y Carne",4,"Lana fina_ 20 micrones Rinde peine 55%","Precio interno_de referencia","US$","MAGYP","Mensual","Nacional","PAIS","200","Argentina",2005-12-01,2.16
1,"Ovinos - Lana y Carne",4,"Lana fina_ 20 micrones Rinde peine 55%","Precio interno_de referencia","US$","MAGYP","Mensual","Nacional","PAIS","200","Argentina",2006-01-01,2.46
1,"Ovinos - Lana y Carne",4,"Lana fina_ 20 micrones Rinde peine 55%","Precio interno_de referencia","US$","MAGYP","Mensual","Nacional","PAIS","200","Argentina",2006-02-01,2.6
1,"Ovinos - Lana y Carne",4,"Lana fina_ 20 micrones Rinde peine 55%","Precio interno_de referencia","US$","MAGYP","Mensual","Nacional","PAIS","200","Argentina",2006-03-01,2.38
1,"Ovinos - Lana y Carne",4,"Lana fina_ 20 micrones Rinde peine 55%","Precio interno_de referencia","US$","MAGYP","Mensual","Nacional","PAIS","200","Argentina",2006-04-01,2.42
1,"Ovinos - Lana y Carne",4,"Lana fina_ 20 micrones Rinde peine 55%","Precio interno_de referencia","US$","MAGYP","Mensual","Nacional","PAIS","200","Argentina",2006-05-01,2.59
1,"Ovinos - Lana y Carne",4,"Lana fina_ 20 micrones Rinde peine 55%","Precio interno_de referencia","US$","MAGYP","Mensual","Nacional","PAIS","200","Argentina",2006-06-01,2.45
1,"Ovinos - Lana y Carne",4,"Lana fina_ 20 micrones Rinde peine 55%","Precio interno_de referencia","US$","MAGYP","Mensual","Nacional","PAIS","200","Argentina",2006-07-01,2.44
1,"Ovinos - Lana y Carne",4,"Lana fina_ 20 micrones Rinde peine 55%","Precio interno_de referencia","US$","MAGYP","Mensual","Nacional","PAIS","200","Argentina",2006-08-01,2.57
1,"Ovinos - Lana y Carne",4,"Lana fina_ 20 micrones Rinde peine 55%","Precio interno_de referencia","US$","MAGYP","Mensual","Nacional","PAIS","200","Argentina",2006-09-01,2.41
1,"Ovinos - Lana y Carne",4,"Lana fina_ 20 micrones Rinde peine 55%","Precio interno_de referencia","US$","MAGYP","Mensual","Nacional","PAIS","200","Argentina",2006-10-01,2.72
1,"Ovinos - Lana y Carne",4,"Lana fina_ 20 micrones Rinde peine 55%","Precio interno_de referencia","US$","MAGYP","Mensual","Nacional","PAIS","200","Argentina",2006-11-01,2.88
1,"Ovinos - Lana y Carne",4,"Lana fina_ 20 micrones Rinde peine 55%","Precio interno_de referencia","US$","MAGYP","Mensual","Nacional","PAIS","200","Argentina",2006-12-01,2.97
1,"Ovinos - Lana y Carne",4,"Lana fina_ 20 micrones Rinde peine 55%","Precio interno_de referencia","US$","MAGYP","Mensual","Nacional","PAIS","200","Argentina",2007-01-01,3.31
1,"Ovinos - Lana y Carne",4,"Lana fina_ 20 micrones Rinde peine 55%","Precio interno_de referencia","US$","MAGYP","Mensual","Nacional","PAIS","200","Argentina",2007-02-01,3.26
1,"Ovinos - Lana y Carne",4,"Lana fina_ 20 micrones Rinde peine 55%","Precio interno_de referencia","US$","MAGYP","Mensual","Nacional","PAIS","200","Argentina",2007-03-01,3.46
1,"Ovinos - Lana y Carne",4,"Lana fina_ 20 micrones Rinde peine 55%","Precio interno_de referencia","US$","MAGYP","Mensual","Nacional","PAIS","200","Argentina",2007-04-01,3.54
1,"Ovinos - Lana y Carne",4,"Lana fina_ 20 micrones Rinde peine 55%","Precio interno_de referencia","US$","MAGYP","Mensual","Nacional","PAIS","200","Argentina",2007-05-01,3.84
1,"Ovinos - Lana y Carne",4,"Lana fina_ 20 micrones Rinde peine 55%","Precio interno_de referencia","US$","MAGYP","Mensual","Nacional","PAIS","200","Argentina",2007-06-01,3.56
1,"Ovinos - Lana y Carne",4,"Lana fina_ 20 micrones Rinde peine 55%","Precio interno_de referencia","US$","MAGYP","Mensual","Nacional","PAIS","200","Argentina",2007-07-01,3.48
1,"Ovinos - Lana y Carne",4,"Lana fina_ 20 micrones Rinde peine 55%","Precio interno_de referencia","US$","MAGYP","Mensual","Nacional","PAIS","200","Argentina",2007-08-01,3.33
1,"Ovinos - Lana y Carne",4,"Lana fina_ 20 micrones Rinde peine 55%","Precio interno_de referencia","US$","MAGYP","Mensual","Nacional","PAIS","200","Argentina",2007-09-01,3.7
1,"Ovinos - Lana y Carne",4,"Lana fina_ 20 micrones Rinde peine 55%","Precio interno_de referencia","US$","MAGYP","Mensual","Nacional","PAIS","200","Argentina",2007-10-01,4.11
1,"Ovinos - Lana y Carne",4,"Lana fina_ 20 micrones Rinde peine 55%","Precio interno_de referencia","US$","MAGYP","Mensual","Nacional","PAIS","200","Argentina",2007-11-01,4.03
1,"Ovinos - Lana y Carne",4,"Lana fina_ 20 micrones Rinde peine 55%","Precio interno_de referencia","US$","MAGYP","Mensual","Nacional","PAIS","200","Argentina",2007-12-01,4.18
1,"Ovinos - Lana y Carne",4,"Lana fina_ 20 micrones Rinde peine 55%","Precio interno_de referencia","US$","MAGYP","Mensual","Nacional","PAIS","200","Argentina",2008-01-01,4.21
1,"Ovinos - Lana y Carne",4,"Lana fina_ 20 micrones Rinde peine 55%","Precio interno_de referencia","US$","MAGYP","Mensual","Nacional","PAIS","200","Argentina",2008-02-01,4.12
1,"Ovinos - Lana y Carne",4,"Lana fina_ 20 micrones Rinde peine 55%","Precio interno_de referencia","US$","MAGYP","Mensual","Nacional","PAIS","200","Argentina",2008-03-01,4.09
1,"Ovinos - Lana y Carne",4,"Lana fina_ 20 micrones Rinde peine 55%","Precio interno_de referencia","US$","MAGYP","Mensual","Nacional","PAIS","200","Argentina",2008-04-01,3.79
1,"Ovinos - Lana y Carne",4,"Lana fina_ 20 micrones Rinde peine 55%","Precio interno_de referencia","US$","MAGYP","Mensual","Nacional","PAIS","200","Argentina",2008-05-01,3.52
1,"Ovinos - Lana y Carne",4,"Lana fina_ 20 micrones Rinde peine 55%","Precio interno_de referencia","US$","MAGYP","Mensual","Nacional","PAIS","200","Argentina",2008-06-01,3.65
1,"Ovinos - Lana y Carne",4,"Lana fina_ 20 micrones Rinde peine 55%","Precio interno_de referencia","US$","MAGYP","Mensual","Nacional","PAIS","200","Argentina",2008-07-01,3.53
1,"Ovinos - Lana y Carne",4,"Lana fina_ 20 micrones Rinde peine 55%","Precio interno_de referencia","US$","MAGYP","Mensual","Nacional","PAIS","200","Argentina",2008-08-01,3.08
1,"Ovinos - Lana y Carne",4,"Lana fina_ 20 micrones Rinde peine 55%","Precio interno_de referencia","US$","MAGYP","Mensual","Nacional","PAIS","200","Argentina",2008-09-01,2.96
1,"Ovinos - Lana y Carne",4,"Lana fina_ 20 micrones Rinde peine 55%","Precio interno_de referencia","US$","MAGYP","Mensual","Nacional","PAIS","200","Argentina",2008-10-01,2.01
1,"Ovinos - Lana y Carne",4,"Lana fina_ 20 micrones Rinde peine 55%","Precio interno_de referencia","US$","MAGYP","Mensual","Nacional","PAIS","200","Argentina",2008-11-01,1.99
1,"Ovinos - Lana y Carne",4,"Lana fina_ 20 micrones Rinde peine 55%","Precio interno_de referencia","US$","MAGYP","Mensual","Nacional","PAIS","200","Argentina",2008-12-01,2.15
1,"Ovinos - Lana y Carne",4,"Lana fina_ 20 micrones Rinde peine 55%","Precio interno_de referencia","US$","MAGYP","Mensual","Nacional","PAIS","200","Argentina",2009-01-01,1.97
1,"Ovinos - Lana y Carne",4,"Lana fina_ 20 micrones Rinde peine 55%","Precio interno_de referencia","US$","MAGYP","Mensual","Nacional","PAIS","200","Argentina",2009-02-01,1.87
1,"Ovinos - Lana y Carne",4,"Lana fina_ 20 micrones Rinde peine 55%","Precio interno_de referencia","US$","MAGYP","Mensual","Nacional","PAIS","200","Argentina",2009-03-01,2.08
1,"Ovinos - Lana y Carne",4,"Lana fina_ 20 micrones Rinde peine 55%","Precio interno_de referencia","US$","MAGYP","Mensual","Nacional","PAIS","200","Argentina",2009-04-01,2.44
1,"Ovinos - Lana y Carne",4,"Lana fina_ 20 micrones Rinde peine 55%","Precio interno_de referencia","US$","MAGYP","Mensual","Nacional","PAIS","200","Argentina",2009-05-01,2.53
1,"Ovinos - Lana y Carne",4,"Lana fina_ 20 micrones Rinde peine 55%","Precio interno_de referencia","US$","MAGYP","Mensual","Nacional","PAIS","200","Argentina",2009-06-01,2.61
1,"Ovinos - Lana y Carne",4,"Lana fina_ 20 micrones Rinde peine 55%","Precio interno_de referencia","US$","MAGYP","Mensual","Nacional","PAIS","200","Argentina",2009-07-01,2.56
1,"Ovinos - Lana y Carne",4,"Lana fina_ 20 micrones Rinde peine 55%","Precio interno_de referencia","US$","MAGYP","Mensual","Nacional","PAIS","200","Argentina",2009-08-01,2.79
1,"Ovinos - Lana y Carne",4,"Lana fina_ 20 micrones Rinde peine 55%","Precio interno_de referencia","US$","MAGYP","Mensual","Nacional","PAIS","200","Argentina",2009-09-01,3.14
1,"Ovinos - Lana y Carne",4,"Lana fina_ 20 micrones Rinde peine 55%","Precio interno_de referencia","US$","MAGYP","Mensual","Nacional","PAIS","200","Argentina",2009-10-01,3.25
1,"Ovinos - Lana y Carne",4,"Lana fina_ 20 micrones Rinde peine 55%","Precio interno_de referencia","US$","MAGYP","Mensual","Nacional","PAIS","200","Argentina",2009-11-01,3.43
1,"Ovinos - Lana y Carne",4,"Lana fina_ 20 micrones Rinde peine 55%","Precio interno_de referencia","US$","MAGYP","Mensual","Nacional","PAIS","200","Argentina",2009-12-01,3.37
1,"Ovinos - Lana y Carne",4,"Lana fina_ 20 micrones Rinde peine 55%","Precio interno_de referencia","US$","MAGYP","Mensual","Nacional","PAIS","200","Argentina",2010-01-01,3.56
1,"Ovinos - Lana y Carne",4,"Lana fina_ 20 micrones Rinde peine 55%","Precio interno_de referencia","US$","MAGYP","Mensual","Nacional","PAIS","200","Argentina",2010-02-01,3.47
1,"Ovinos - Lana y Carne",4,"Lana fina_ 20 micrones Rinde peine 55%","Precio interno_de referencia","US$","MAGYP","Mensual","Nacional","PAIS","200","Argentina",2010-03-01,3.48
1,"Ovinos - Lana y Carne",4,"Lana fina_ 20 micrones Rinde peine 55%","Precio interno_de referencia","US$","MAGYP","Mensual","Nacional","PAIS","200","Argentina",2010-04-01,3.45
1,"Ovinos - Lana y Carne",4,"Lana fina_ 20 micrones Rinde peine 55%","Precio interno_de referencia","US$","MAGYP","Mensual","Nacional","PAIS","200","Argentina",2010-05-01,3.08
1,"Ovinos - Lana y Carne",4,"Lana fina_ 20 micrones Rinde peine 55%","Precio interno_de referencia","US$","MAGYP","Mensual","Nacional","PAIS","200","Argentina",2010-06-01,3.22
1,"Ovinos - Lana y Carne",4,"Lana fina_ 20 micrones Rinde peine 55%","Precio interno_de referencia","US$","MAGYP","Mensual","Nacional","PAIS","200","Argentina",2010-07-01,3.27
1,"Ovinos - Lana y Carne",4,"Lana fina_ 20 micrones Rinde peine 55%","Precio interno_de referencia","US$","MAGYP","Mensual","Nacional","PAIS","200","Argentina",2010-08-01,3.24
1,"Ovinos - Lana y Carne",4,"Lana fina_ 20 micrones Rinde peine 55%","Precio interno_de referencia","US$","MAGYP","Mensual","Nacional","PAIS","200","Argentina",2010-09-01,3.57
1,"Ovinos - Lana y Carne",4,"Lana fina_ 20 micrones Rinde peine 55%","Precio interno_de referencia","US$","MAGYP","Mensual","Nacional","PAIS","200","Argentina",2010-10-01,3.91
1,"Ovinos - Lana y Carne",4,"Lana fina_ 20 micrones Rinde peine 55%","Precio interno_de referencia","US$","MAGYP","Mensual","Nacional","PAIS","200","Argentina",2010-11-01,3.83
1,"Ovinos - Lana y Carne",4,"Lana fina_ 20 micrones Rinde peine 55%","Precio interno_de referencia","US$","MAGYP","Mensual","Nacional","PAIS","200","Argentina",2010-12-01,4.14
1,"Ovinos - Lana y Carne",4,"Lana fina_ 20 micrones Rinde peine 55%","Precio interno_de referencia","US$","MAGYP","Mensual","Nacional","PAIS","200","Argentina",2011-01-01,4.69
